,sim,a,b,mean,variance,N,n,distance_assembly,distance_optimal,distance_naive,spp_name,ab_original,ab_optimal,ab_subcomm,ab_naive,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
4,0.0,1.0,1.0,9.625,17.484375,8.0,3.0,0.047229179309845964,0.047229179309843654,0.1765959777469695,spp5,0.358980936504742,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
5,0.0,1.0,1.0,9.625,17.484375,8.0,3.0,0.047229179309845964,0.047229179309843654,0.1765959777469695,spp6,1.047916815223,1.37383788147953,1.37383788147953,1.047916815223,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
6,0.0,1.0,1.0,9.625,17.484375,8.0,3.0,0.047229179309845964,0.047229179309843654,0.1765959777469695,spp7,0.0607371899475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,9.625,17.484375,8.0,3.0,0.047229179309845964,0.047229179309843654,0.1765959777469695,spp8,0.154958191428851,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp1,1.81297666836643,2.053201490675375,2.05320149067526,1.81297666836643,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp2,4.23193536175065,4.5657557452120985,4.56575574521205,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
2,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp3,0.361130803282735,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
3,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp4,0.779619352973201,1.1188634132205177,1.11886341322065,0.779619352973201,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
4,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp5,0.358980936504742,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
5,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp6,1.047916815223,0.9702943289953029,0.970294328995253,1.047916815223,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
